140462,4/1/14,1,,,,10,,,,,1,,20,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,3,,,,,,,,,,,,,,,,,,,1,,3,2,1,,1,,,1,0
140463,4/1/14,1,,,,10,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,2,,,,,,,,,,,,,,,,,,,1,,1,1,0,,,1,,0,0
140465,4/1/14,1,,,,10,1,,,,,,14,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,0,0
140464,4/1/14,1,,,,10,1,,,,,,14,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,0,,,1,,0,0
140468,4/1/14,,1,,,20,,,,1,,,17,1,1,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,1,,,,1,3,2,1,,1,,,1,1
140469,4/1/14,1,,,,30,1,,,,,,14,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,4,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,0,0
140470,4/1/14,,1,,,10,,,,,,1,45,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,1,,,,,1,2,1,1,,1,,,0,0
140471,4/2/14,1,,,,10,1,,,,,,12,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,1,,,,,,1,2,2,0,,,1,,0,0
140472,4/2/14,1,,,,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,0,0
140473,4/2/14,1,,,,10,,,,,,1,22,,,,,,1,1,,1,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,1,1,2,2,0,,,1,,0,0
140474,4/2/14,1,,,,15,,,,,,1,32,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,1,4,3,1,,1,,,1,1
140475,4/2/14,1,,,,40,1,,,,,,16,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,,,,,,,,,,,,,1,,,,,1,4,4,0,,,1,,1,1
140476,4/2/14,,1,,,10,1,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,2,,,,,,,,,,,,,,,,,,,1,1,2,1,1,,1,,,0,0
140477,4/2/14,,1,,,10,1,,,,,,12,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,0,,,1,,0,0
140478,4/2/14,,,1,,30,1,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,1,,,,,,,,,,4,4,0,,,1,,1,0
140479,4/2/14,,,1,,10,1,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,0,0
140481,4/3/14,1,,,,10,1,,,,,,11,,,,,,,,1,,1,,1,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,2,1,1,,1,,,0,0
140482,4/3/14,,1,,,10,,,,,,1,33,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,2,2,0,,,1,,0,0
140483,4/3/14,,,1,,10,,,,,,1,50,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,1,,,,,,2,2,0,,,1,,0,0
140484,4/3/14,,,1,,10,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,1,,,,1,1,1,0,,,1,,0,0
140485,4/3/14,,,1,,20,,1,,,,,17,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,3,,,,,,,,,,,,,,,1,,,,,1,3,2,1,,1,,,1,1
140486,4/4/14,1,,,,10,1,,,,,,15,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,,,1,2,2,0,,,1,,0,0
140480,4/3/14,1,,,,10,1,,,,,,15,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,1,3,2,1,,1,,,1,1
140487,4/4/14,1,,,,10,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,,2,,,,,,,,,,,,,,,,,,1,,,3,3,0,,,1,,1,0
140488,4/4/14,1,,,,30,1,,,,,,14,,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,3,1,2,,1,,,1,0
140489,4/4/14,,1,,,20,,,,,,1,,,,,,,1,1,1,,,,,,,,,,,,1,,,,,,,,1,1,1,1,1,1,,3,,,,,,,,,,,,,,,,,,,1,1,4,3,1,,1,,,1,1
140490,4/4/14,,1,,,10,,,,,,1,24,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,1,1,1,1,0,,,1,,0,0
140491,4/4/14,,1,,,60,1,,,,,,16,1,1,,1,,1,1,1,,,,,,,,,,1,1,,1,1,,1,1,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,1,3,2,1,,1,,,1,1
140492,4/4/14,,1,,,10,,1,,,,,17,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,,,1,1,,,,1,,,,,,,,1,,,,,,,,,,,,,,2,2,0,,,1,,0,0
