130165,1/31/13,,,1,,10,,,,,,1,44,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,2,,1,,,,,,,,,,,,,,,,1,2,1,1,,1,,,0,0
130164,1/31/13,,1,,,10,,,,,1,,18,,,,,1,,1,,,,1,,,,,,,,1,,,,,,,,,,1,1,1,,,,3,,,,,,,,,,,,,,,,,1,1,3,3,0,,,1,,1,1
130163,1/31/13,1,,,,10,,,,,1,,19,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,2,,,1,,,,,,,,,,,,,,,1,3,2,1,,1,,,1,1
130162,1/31/13,1,,,,20,,,,,1,,20,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,1,4,2,2,,1,,,1,1
130161,1/30/13,,,1,,10,,,,,,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,7,,,,,,,,,,,,,,,,,1,,1,1,0,,,1,,0,0
130160,1/30/13,,,1,,10,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
130168,1/31/13,,1,,,10,,,,,,1,32,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,,,,,,,,,,,,,1,,1,2,2,0,,,1,,0,0
130167,1/31/13,1,,,,20,,,,,,1,38,,,,,,1,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,1,4,3,1,,1,,,1,1
130159,1/30/13,,,1,,10,,,,,1,,19,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,2,2,0,,,1,,0,0
130158,1/30/13,,,1,,10,,1,,,,,17,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,1,,,,,,,,,,,,,,1,2,2,0,,,1,,0,0
130157,1/30/13,,1,,,20,1,,,,,,13,1,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,,,2,,,,,,,,,,,,,,,,,1,1,4,3,1,,1,,,1,1
130156,1/30/13,,1,,,10,,,,,,1,43,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,4,,,,,,,,,,,,,,,,1,,1,2,2,0,,,1,,0,0
130155,1/30/13,1,,,,10,,,,,,1,38,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,1,,1,1,0,,,1,,0,0
130154,1/29/13,,1,,,10,,,,,,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,0,0
130153,1/29/13,,1,,,10,,,,,1,,18,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,3,,,,,,,,,,,,,1,,,,,,2,2,0,,,1,,0,0
130152,1/26/13,1,,,,10,,,,,1,,18,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,1,2,2,0,,,1,,0,0
130145,1/28/13,,1,,,15,,,,,1,,18,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,2,1,1,,1,,,0,0
130151,1/26/13,,,,1,10,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,2,,,,,,,1,,,,,,,,,,,1,4,3,1,,1,,,1,1
130150,1/27/13,,,,1,10,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,5,4,1,,1,,,1,1
130149,1/29/13,1,,,,10,,,,,,1,34,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,,,,,,,,,,,,,1,,4,3,1,,1,,,1,0
130148,1/29/13,1,,,,10,,,,,1,,19,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,1,2,2,0,,,1,,0,0
130124,1/24/13,1,,,,15,,,,,1,,19,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,,,,,,,1,,,,,,,,,,1,,1,2,1,1,,1,,,0,0
130147,1/29/13,,,,1,20,,,,1,,,17,,,,,,,1,,,1,,1,,,,1,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,1,3,2,1,,1,,,1,1
130146,1/28/13,,1,,,20,,,,1,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,1,2,2,0,,,1,,0,0
130144,1/28/13,1,,,,15,,,1,,,,17,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,1,,,,1,2,1,1,,1,,,0,0
130112,1/22/13,,,1,,10,,,,1,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,2,1,1,,1,,,0,0
130143,1/28/13,1,,,,10,,,,,,1,30,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,3,,,,,,,,,,,,,,,,,1,1,2,2,0,,,1,,0,0
130142,1/28/13,1,,,,40,1,,,,,,16,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,1,1,4,2,2,,1,,,1,1
130141,1/28/13,1,,,,10,,,,,,1,27,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,2,2,0,,,1,,0,0
130140,1/28/13,1,,,,10,,,,,,1,35,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,,,,,,,,,,,,,,1,1,2,1,1,,1,,,0,0
130139,1/28/13,1,,,,20,,,,,1,,18,,,,,,1,,,1,,,,,,1,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1,1,1,1,0,,,1,,0,0
130126,1/24/13,,1,,,10,,,,,1,,18,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,1,1,0,,,1,,0,0
130138,1/28/13,1,,,,10,,,,,,1,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,1,,1,2,2,0,,,1,,0,0
130137,1/25/13,,,,1,30,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,1,,,,,,,,,,,,1,5,2,3,,1,,,1,1
130136,1/25/13,,,1,,15,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,2,,,,1,,,,,,,,,,,,,,1,2,1,1,,1,,,0,0
130135,1/25/13,,1,,,10,,,,,1,,20,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,,,,1,,,,,,,,,,,1,2,2,0,,,1,,0,0
130134,1/25/13,,1,,,10,,,,,1,,19,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,1,,,,,,,,0,0
130133,1/25/13,1,,,,15,1,,,,,,7,1,,,,,,,1,,1,,1,,,,,,,,,1,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,1,1,4,3,1,,1,,,1,1
130132,1/25/13,1,,,,10,,,,1,,,17,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,1,2,2,0,,,1,,0,0
130131,1/24/13,,,1,,10,1,,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,2,1,1,,1,,,0,0
130130,1/24/13,,,1,,10,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,1,1,1,0,,,1,,0,0
130129,1/24/13,,1,,,10,1,,,,,,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,1,,,,1,3,2,1,,1,,,1,1
130128,1/24/13,,1,,,10,1,,,,,,16,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,1,,,,,,1,1,0,,,1,,0,0
130127,1/24/13,,1,,,10,,,,,,1,30,,,,1,,1,1,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,0,0
130125,1/24/13,1,,,,10,,,,,,1,31,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,2,2,0,,,1,,0,0
130123,1/24/13,1,,,,10,,,,,,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,1,0,,,1,,0,0
130122,1/23/13,,1,,,20,1,,,,,,13,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,1,,,,,1,4,3,1,,1,,,1,1
130121,1/23/13,,1,,,15,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,2,,,,,,,,,,,,,,,,1,,1,3,2,1,,1,,,1,1
130120,1/23/13,,1,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,,,1,,,,1,2,2,0,,,1,,0,0
130119,1/23/13,,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
130118,1/23/13,,1,,,10,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,0
130117,1/23/13,1,,,,10,,,,,,1,30,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,2,,,,,,,,,,,,,,1,,,,1,2,1,1,,1,,,0,0
130116,1/23/13,1,,,,10,,,,,,1,43,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,2,2,0,,,1,,0,0
130115,1/23/13,1,,,,10,,,,,,1,60,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,2,,,,,,,,,,,,,,,,1,,1,3,3,0,,,1,,1,1
130114,1/20/13,,,,1,20,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,3,,,,,,,,,,,,,,1,,,,,3,3,0,,,1,,1,0
130113,1/22/13,,,1,,10,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,2,2,0,,,1,,0,0
130111,1/22/13,,1,,,10,,,,,1,,19,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,1,1,0,,,1,,0,0
130110,1/22/13,,1,,,10,,,,,1,,18,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,1,1,0,,,1,,0,0
130109,1/22/13,,1,,,10,1,,,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,,,,,,,,1,,,,,,,,,,1,2,2,0,,,1,,0,0
130108,1/22/13,,1,,,10,,,,,,1,24,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,1,,,,,1,,,,,,,,,,,,,1,2,2,0,,,1,,0,0
130107,1/22/13,1,,,,10,1,,,,,,16,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,,2,,,,,,,,,,,,,,,,,1,1,2,2,0,,,1,,0,0
130106,1/22/13,1,,,,15,,,,,1,,18,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,3,,,1,,,,,,,,,,,,,,,1,2,1,1,,1,,,0,0
130105,1/22/13,1,,,,15,1,,,,,,13,1,,,,1,,,1,,1,,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,1,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,0,0
130104,1/21/13,1,,,,15,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,3,,,,,,,,,,,,,,,,1,,1,3,2,1,,1,,,1,1
