weekday,R,H ,T,T9-1,T1-5,T5-8,T8-9,Age,HAOHFamily,HAOHFriend,HAOHSchool,HAOHAdvertisement/Poster/Helpcard,HAOHOzone Staff,HAOHPolice/Court/Probation Officer,HAOHOther Org.,HAOHIs a Previous Client,HAOHO.H. Street/Outreach,HAOHPOWs,HAOHMental Health Professional,HAOHInternet/Online Search,HAOHDrop-InCenter,HAOHHousing Access,HAOHOther,HAOHUnknown,PA,PB,PC,PD,PE,PF,PG,PH,PI,PJ,PK,PL,PM,PN,PO,PP,PQ,PR,PS,PT,PU,PV,PW,PX,PY ,PZ,Paa,Pbb,Pcc,Pdd,Pee,Pff,Pgg,Phh,Pii,Pjj,Pkk,SPEmpathy,SPInfoGathering,SPProblemSolving,SPRealityTesting,SPSafetyPlanning,ISIDFamily Conflict,ISIDCurrent Abuse,ISIDSuicide,ISIDOn the street,ISIDDomestic Violence,ISIDOther,SafetyPlan,AnxietyStart,AnxietyEnd,Increase,Decrease,No Change,PositiveChange,CallsInCrisisw/SP,Intake Scheduled,# of Referrals Given
0,0.41586151368760066,0.5462962962962963,0.022946859903381644,0.40217391304347827,0.39533011272141705,0.1642512077294686,0.033011272141706925,14.241143317230273,0.04669887278582931,0.08816425120772947,0.05032206119162641,0.01932367149758454,0.029790660225442835,0.030998389694041867,0.15901771336553946,0.0322061191626409,0.0008051529790660225,0.0008051529790660225,0.020933977455716585,0.05998389694041868,0.0036231884057971015,0.027777777777777776,0.011674718196457327,0.4138486312399356,0.16465378421900162,0.08735909822866345,0.321658615136876,0.07528180354267311,0.18317230273752014,0.3071658615136876,0.07286634460547504,0.1541867954911433,0.011272141706924315,0.026570048309178744,0.03784219001610306,0.01892109500805153,0.036231884057971016,0.018518518518518517,0.02938808373590982,0.027375201288244767,0.0607890499194847,0.05877616747181964,0.022946859903381644,0.011272141706924315,0.01892109500805153,0.055152979066022546,0.046296296296296294,0.03904991948470209,0.006843800322061192,0.06481481481481481,0.02254428341384863,0.043478260869565216,0.01570048309178744,0.143317230273752,0.00322061191626409,0.005636070853462158,0.0008051529790660225,0.010064412238325281,0.007246376811594203,0.005636070853462158,0.005233494363929146,0.784219001610306,0.9106280193236715,0.6272141706924316,0.2926731078904992,0.30112721417069244,0.0680354267310789,0.02938808373590982,0.022946859903381644,0.13486312399355876,0.005636070853462158,0.036231884057971016,0.2749597423510467,1.040257648953301,0.8409822866344605,0.01610305958132045,0.16747181964573268,0.24154589371980675,0.05032206119162641,459.170692431562,0.13446054750402575,0.8027375201288245
1,0.4265154819014392,0.5364151766245093,0.02442215438290449,0.3986044483209769,0.4108155255124291,0.16048844308765808,0.026166593981683386,14.710423026602705,0.03881378107283035,0.0793720017444396,0.06149149585695595,0.03706934147405146,0.023549934583515047,0.030527692978630616,0.1609245529873528,0.03619712167466201,0.0017444395987788923,0.002180549498473615,0.030963802878325338,0.0453554295682512,0.00436109899694723,0.02006105538595726,0.0170082860880942,0.4138682948102922,0.1792411687745312,0.09289140863497601,0.3004797208896642,0.09245529873528129,0.18229393807239425,0.2869603139991278,0.06585259485390318,0.16528565198430004,0.01264718709114697,0.032272132577409504,0.035761011774967294,0.022241604884430877,0.03706934147405146,0.01875272568687309,0.01569995638901003,0.032272132577409504,0.041866550370693416,0.06061927605756651,0.02529437418229394,0.011774967291757523,0.021805494984736152,0.04099433057130397,0.05276929786306149,0.05233318796336677,0.0039249890972525075,0.07283035324901875,0.027911033580462277,0.04840819886611426,0.027911033580462277,0.16572176188399476,0.0008722197993894462,0.00436109899694723,0.0026166593981683385,0.007849978194505015,0.006977758395115569,0.004797208896641954,0.0065416484954208464,0.754470126471871,0.9140863497601396,0.5918011338857392,0.2437854339293502,0.3344962930658526,0.09463584823375491,0.03619712167466201,0.042302660270388134,0.17313563017880507,0.009594417793283908,0.02703881378107283,0.2516354121238552,1.1644134321849107,0.9188835586567815,0.014827736589620584,0.19363279546445705,0.24552987352812908,0.05625817706061927,497.8015699956389,0.13955516790231137,0.8491059747056258
2,0.41336971350613916,0.540700318326512,0.0263756252842201,0.4051841746248295,0.3933606184629377,0.16552978626648476,0.0286493860845839,14.143701682582993,0.030923146884947704,0.07185084129149613,0.05911778080945884,0.02364711232378354,0.02592087312414734,0.027285129604365622,0.17007730786721237,0.02910413824465666,0.002273760800363802,0.00045475216007276033,0.030468394724874944,0.053660754888585724,0.005911778080945885,0.02910413824465666,0.01455206912232833,0.4206457480673033,0.18144611186903137,0.10231923601637108,0.32014552069122326,0.08549340609367895,0.17962710322874034,0.29376989540700316,0.08321964529331514,0.14597544338335608,0.01182355616189177,0.03137789904502047,0.02773988176443838,0.018190086402910415,0.034106412005457026,0.01273306048203729,0.02592087312414734,0.026830377444292862,0.06457480673033197,0.06093678944974989,0.019554342883128694,0.01227830832196453,0.022737608003638016,0.05093224192814916,0.042746703046839474,0.04047294224647567,0.004547521600727604,0.06502955889040472,0.0241018644838563,0.030468394724874944,0.021828103683492497,0.1432469304229195,0.001364256480218281,0.0018190086402910413,0.001364256480218281,0.004547521600727604,0.006366530241018645,0.0036380172805820826,0.005911778080945885,0.7771714415643475,0.9258753979081401,0.6557526148249204,0.2810368349249659,0.3101409731696226,0.0768531150522965,0.03774442928603911,0.03865393360618463,0.13960891314233742,0.0068212824010914054,0.0286493860845839,0.24511141427921782,1.145975443383356,0.9290586630286494,0.01227830832196453,0.16734879490677582,0.2787630741246021,0.054570259208731244,63.77762619372442,0.13096862210095497,0.8317417007730786
3,0.44269662921348313,0.5128089887640449,0.025617977528089888,0.39146067415730335,0.4053932584269663,0.16584269662921347,0.031011235955056178,14.35370786516854,0.03775280898876404,0.07910112359550561,0.06831460674157304,0.029213483146067417,0.02651685393258427,0.02696629213483146,0.1662921348314607,0.036853932584269666,0.00044943820224719103,0.001348314606741573,0.036853932584269666,0.038202247191011236,0.004943820224719101,0.02202247191011236,0.016179775280898877,0.40808988764044946,0.18471910112359552,0.09078651685393259,0.28269662921348315,0.08674157303370786,0.15280898876404495,0.3321348314606742,0.06471910112359551,0.16089887640449438,0.008988764044943821,0.03775280898876404,0.037303370786516854,0.024269662921348314,0.038202247191011236,0.016179775280898877,0.029662921348314608,0.02606741573033708,0.052584269662921346,0.05752808988764045,0.020674157303370785,0.009887640449438202,0.01662921348314607,0.03640449438202247,0.04719101123595506,0.04,0.0044943820224719105,0.05573033707865169,0.018426966292134833,0.03191011235955056,0.020224719101123594,0.1352808988764045,0.003146067415730337,0.006741573033707865,0.002696629213483146,0.00853932584269663,0.00853932584269663,0.0022471910112359553,0.008089887640449439,0.724494382022472,0.8530337078651685,0.5793258426966292,0.26292134831460673,0.2782022471910112,0.0844943820224719,0.032359550561797755,0.035955056179775284,0.12808988764044943,0.0071910112359550565,0.023820224719101123,0.2539325842696629,1.075056179775281,0.8579775280898876,0.01752808988764045,0.16359550561797753,0.2669662921348315,63.350112359550565,0.10382022471910113,0.11325842696629214,0.7739325842696629
4,0.4126055880441845,0.548408057179987,0.022092267706302793,0.45743989603638724,0.4489928525016244,0.05328135152696556,0.03313840155945419,14.348927875243664,0.03313840155945419,0.07797270955165692,0.05458089668615984,0.014294996751137101,0.012345679012345678,0.03248862897985705,0.15464587394411955,0.037037037037037035,0.000649772579597141,0.000649772579597141,0.03573749187784275,0.05328135152696556,0.005198180636777128,0.029239766081871343,0.014294996751137101,0.4359974009096816,0.17348927875243664,0.08187134502923976,0.3060428849902534,0.07342430149447693,0.18843404808317088,0.2982456140350877,0.06042884990253411,0.1682910981156595,0.012345679012345678,0.030539311241065625,0.04093567251461988,0.029239766081871343,0.03508771929824561,0.02014294996751137,0.022742040285899934,0.03573749187784275,0.05198180636777128,0.05523066926575698,0.02014294996751137,0.009746588693957114,0.022742040285899934,0.03833658219623132,0.05263157894736842,0.030539311241065625,0.003898635477582846,0.04613385315139701,0.024041585445094216,0.03898635477582846,0.022742040285899934,0.1650422352176738,0.011695906432748537,0.01364522417153996,0.007147498375568551,0.014294996751137101,0.017543859649122806,0.014944769330734242,0.011695906432748537,0.7270955165692008,0.8960363872644574,0.6510721247563352,0.3073424301494477,0.3248862897985705,0.09616634178037686,0.04483430799220273,0.03508771929824561,0.14554905782975958,0.007797270955165692,0.04223521767381416,0.30539311241065625,1.1715399610136452,0.9278752436647173,0.011046133853151396,0.19103313840155944,0.26900584795321636,0.06172839506172839,833.4165042235218,0.11371020142949967,0.8492527615334633
5,0.49146757679180886,0.4709897610921502,0.040955631399317405,0.3378839590443686,0.26621160409556316,0.2150170648464164,0.17747440273037543,15.556313993174061,0.04778156996587031,0.12627986348122866,0.030716723549488054,0.023890784982935155,0.017064846416382253,0.07167235494880546,0.14334470989761092,0.08191126279863481,0.0,0.0,0.04436860068259386,0.15358361774744028,0.0,0.010238907849829351,0.020477815699658702,0.22525597269624573,0.27303754266211605,0.17406143344709898,0.20136518771331058,0.10580204778156997,0.14334470989761092,0.3003412969283277,0.06484641638225255,0.2354948805460751,0.013651877133105802,0.030716723549488054,0.06143344709897611,0.03754266211604096,0.020477815699658702,0.013651877133105802,0.030716723549488054,0.03754266211604096,0.08532423208191127,0.04436860068259386,0.030716723549488054,0.0034129692832764505,0.034129692832764506,0.0034129692832764505,0.04436860068259386,0.06143344709897611,0.010238907849829351,0.034129692832764506,0.040955631399317405,0.006825938566552901,0.023890784982935155,0.20819112627986347,0.006825938566552901,0.006825938566552901,0.0034129692832764505,0.020477815699658702,0.0034129692832764505,0.006825938566552901,0.020477815699658702,0.9010238907849829,0.9488054607508533,0.764505119453925,0.5563139931740614,0.658703071672355,0.23890784982935154,0.051194539249146756,0.08532423208191127,0.23890784982935154,0.006825938566552901,0.017064846416382253,0.4812286689419795,1.9419795221843004,1.4607508532423208,0.034129692832764506,0.3378839590443686,0.3412969283276451,0.11604095563139932,3893.211604095563,0.09215017064846416,0.9726962457337884
6,0.5580524344569289,0.38202247191011235,0.052434456928838954,0.3146067415730337,0.26217228464419473,0.20973782771535582,0.20599250936329588,13.093632958801498,0.056179775280898875,0.11610486891385768,0.02247191011235955,0.011235955056179775,0.018726591760299626,0.0449438202247191,0.1647940074906367,0.06741573033707865,0.0,0.003745318352059925,0.03745318352059925,0.1348314606741573,0.00749063670411985,0.018726591760299626,0.011235955056179775,0.2846441947565543,0.26591760299625467,0.13857677902621723,0.18352059925093633,0.12359550561797752,0.19850187265917604,0.30711610486891383,0.0599250936329588,0.2546816479400749,0.011235955056179775,0.04119850187265917,0.03745318352059925,0.04868913857677903,0.04868913857677903,0.033707865168539325,0.02247191011235955,0.026217228464419477,0.06741573033707865,0.052434456928838954,0.03745318352059925,0.0149812734082397,0.02247191011235955,0.018726591760299626,0.0599250936329588,0.06367041198501873,0.0,0.04119850187265917,0.0299625468164794,0.0,0.0299625468164794,0.18352059925093633,0.011235955056179775,0.011235955056179775,0.00749063670411985,0.011235955056179775,0.011235955056179775,0.0,0.0149812734082397,0.8651685393258427,0.9438202247191011,0.7715355805243446,0.6254681647940075,0.6404494382022472,0.2546816479400749,0.04868913857677903,0.06367041198501873,0.2696629213483146,0.003745318352059925,0.00749063670411985,0.4681647940074906,1.9812734082397003,1.3632958801498127,0.026217228464419477,0.40823970037453183,0.24719101123595505,525.0374531835206,0.2883895131086142,0.09737827715355805,0.700374531835206
