week,R,H ,T,T9-1,T1-5,T5-8,T8-9,Age,HAOHFamily,HAOHFriend,HAOHSchool,HAOHAdvertisement/Poster/Helpcard,HAOHOzone Staff,HAOHPolice/Court/Probation Officer,HAOHOther Org.,HAOHIs a Previous Client,HAOHO.H. Street/Outreach,HAOHPOWs,HAOHMental Health Professional,HAOHInternet/Online Search,HAOHDrop-InCenter,HAOHHousing Access,HAOHOther,HAOHUnknown,PA,PB,PC,PD,PE,PF,PG,PH,PI,PJ,PK,PL,PM,PN,PO,PP,PQ,PR,PS,PT,PU,PV,PW,PX,PY ,PZ,Paa,Pbb,Pcc,Pdd,Pee,Pff,Pgg,Phh,Pii,Pjj,Pkk,SPEmpathy,SPInfoGathering,SPProblemSolving,SPRealityTesting,SPSafetyPlanning,ISIDFamily Conflict,ISIDCurrent Abuse,ISIDSuicide,ISIDOn the street,ISIDDomestic Violence,ISIDOther,SafetyPlan,AnxietyStart,AnxietyEnd,Increase,Decrease,No Change,PositiveChange,CallsInCrisisw/SP,Intake Scheduled,# of Referrals Given
1,0.36551724137931035,0.593103448275862,0.020689655172413793,0.3931034482758621,0.4,0.1724137931034483,0.034482758620689655,15.751724137931035,0.020689655172413793,0.09655172413793103,0.05517241379310345,0.04827586206896552,0.034482758620689655,0.027586206896551724,0.1310344827586207,0.041379310344827586,0.0,0.0,0.027586206896551724,0.06206896551724138,0.0,0.013793103448275862,0.0,0.45517241379310347,0.2,0.1310344827586207,0.43448275862068964,0.11724137931034483,0.14482758620689656,0.2620689655172414,0.08275862068965517,0.16551724137931034,0.013793103448275862,0.04827586206896552,0.04827586206896552,0.006896551724137931,0.013793103448275862,0.034482758620689655,0.041379310344827586,0.041379310344827586,0.12413793103448276,0.05517241379310345,0.027586206896551724,0.006896551724137931,0.020689655172413793,0.027586206896551724,0.020689655172413793,0.027586206896551724,0.006896551724137931,0.041379310344827586,0.020689655172413793,0.034482758620689655,0.027586206896551724,0.05517241379310345,0.0,0.0,0.0,0.0,0.0,0.013793103448275862,0.0,0.7724137931034483,0.8620689655172413,0.6137931034482759,0.3586206896551724,0.3931034482758621,0.05517241379310345,0.04827586206896552,0.020689655172413793,0.16551724137931034,0.0,0.08275862068965517,0.22758620689655173,1.0551724137931036,0.8482758620689655,0.0,0.16551724137931034,0.2413793103448276,0.06896551724137931,0.09655172413793103,0.19310344827586207,0.9586206896551724
2,0.42105263157894735,0.5263157894736842,0.024291497975708502,0.4089068825910931,0.4251012145748988,0.11740890688259109,0.044534412955465584,12.850202429149798,0.05263157894736842,0.11740890688259109,0.08502024291497975,0.012145748987854251,0.020242914979757085,0.04048582995951417,0.1417004048582996,0.016194331983805668,0.004048582995951417,0.0,0.032388663967611336,0.04048582995951417,0.008097165991902834,0.024291497975708502,0.008097165991902834,0.39271255060728744,0.23481781376518218,0.0728744939271255,0.3481781376518219,0.10121457489878542,0.14979757085020243,0.3319838056680162,0.06477732793522267,0.16194331983805668,0.004048582995951417,0.048582995951417005,0.03643724696356275,0.004048582995951417,0.048582995951417005,0.012145748987854251,0.020242914979757085,0.020242914979757085,0.06477732793522267,0.07692307692307693,0.02834008097165992,0.008097165991902834,0.024291497975708502,0.07692307692307693,0.03643724696356275,0.032388663967611336,0.004048582995951417,0.11740890688259109,0.0,0.02834008097165992,0.008097165991902834,0.0728744939271255,0.004048582995951417,0.004048582995951417,0.0,0.0,0.004048582995951417,0.004048582995951417,0.0,0.7854251012145749,0.902834008097166,0.6437246963562753,0.27530364372469635,0.2793522267206478,0.08502024291497975,0.024291497975708502,0.044534412955465584,0.20242914979757085,0.016194331983805668,0.04048582995951417,0.21052631578947367,1.0,0.8097165991902834,0.0,0.1659919028340081,0.23481781376518218,0.044534412955465584,0.10931174089068826,0.145748987854251,0.7611336032388664
3,0.4046242774566474,0.5433526011560693,0.023121387283236993,0.3930635838150289,0.3930635838150289,0.1791907514450867,0.028901734104046242,14.398843930635838,0.05202312138728324,0.06936416184971098,0.08092485549132948,0.017341040462427744,0.017341040462427744,0.03468208092485549,0.12716763005780346,0.046242774566473986,0.0,0.005780346820809248,0.011560693641618497,0.05202312138728324,0.023121387283236993,0.028901734104046242,0.005780346820809248,0.41040462427745666,0.15028901734104047,0.057803468208092484,0.23699421965317918,0.10982658959537572,0.11560693641618497,0.20809248554913296,0.07514450867052024,0.13872832369942195,0.011560693641618497,0.03468208092485549,0.017341040462427744,0.011560693641618497,0.023121387283236993,0.005780346820809248,0.005780346820809248,0.011560693641618497,0.06358381502890173,0.06358381502890173,0.017341040462427744,0.005780346820809248,0.03468208092485549,0.046242774566473986,0.03468208092485549,0.03468208092485549,0.0,0.06358381502890173,0.005780346820809248,0.04046242774566474,0.028901734104046242,0.10404624277456648,0.0,0.0,0.0,0.005780346820809248,0.0,0.0,0.005780346820809248,0.7456647398843931,0.884393063583815,0.6242774566473989,0.3063583815028902,0.34104046242774566,0.11560693641618497,0.05202312138728324,0.06936416184971098,0.14450867052023122,0.017341040462427744,0.028901734104046242,0.2832369942196532,1.23121387283237,0.9942196531791907,0.0,0.1676300578034682,0.30057803468208094,0.057803468208092484,0.13872832369942195,0.12716763005780346,0.6878612716763006
4,0.3918918918918919,0.5720720720720721,0.0045045045045045045,0.4099099099099099,0.3783783783783784,0.16666666666666666,0.04504504504504504,14.144144144144144,0.03153153153153153,0.07207207207207207,0.0945945945945946,0.03153153153153153,0.04954954954954955,0.009009009009009009,0.11261261261261261,0.03153153153153153,0.0,0.0,0.02252252252252252,0.05855855855855856,0.0045045045045045045,0.036036036036036036,0.0045045045045045045,0.43243243243243246,0.18018018018018017,0.06306306306306306,0.26126126126126126,0.05855855855855856,0.13063063063063063,0.32432432432432434,0.07207207207207207,0.11711711711711711,0.018018018018018018,0.04954954954954955,0.06756756756756757,0.018018018018018018,0.04504504504504504,0.02252252252252252,0.0,0.009009009009009009,0.08558558558558559,0.05405405405405406,0.02702702702702703,0.018018018018018018,0.018018018018018018,0.04504504504504504,0.036036036036036036,0.04054054054054054,0.0,0.04954954954954955,0.0045045045045045045,0.02702702702702703,0.009009009009009009,0.07657657657657657,0.0,0.0,0.0,0.0,0.0,0.0,0.009009009009009009,0.7297297297297297,0.8378378378378378,0.581081081081081,0.30180180180180183,0.31981981981981983,0.07207207207207207,0.03153153153153153,0.04954954954954955,0.14864864864864866,0.013513513513513514,0.04504504504504504,0.23423423423423423,0.9954954954954955,0.7972972972972973,0.0045045045045045045,0.15765765765765766,0.24324324324324326,0.03153153153153153,0.11711711711711711,0.11711711711711711,0.7747747747747747
5,0.42786069651741293,0.5472636815920398,0.014925373134328358,0.39303482587064675,0.40298507462686567,0.15422885572139303,0.04975124378109453,15.457711442786069,0.04477611940298507,0.08955223880597014,0.04477611940298507,0.024875621890547265,0.024875621890547265,0.01990049751243781,0.16417910447761194,0.01990049751243781,0.0,0.0,0.01990049751243781,0.029850746268656716,0.004975124378109453,0.029850746268656716,0.009950248756218905,0.4228855721393035,0.22388059701492538,0.14925373134328357,0.32338308457711445,0.07462686567164178,0.20398009950248755,0.36318407960199006,0.11442786069651742,0.17412935323383086,0.004975124378109453,0.03980099502487562,0.029850746268656716,0.03482587064676617,0.01990049751243781,0.01990049751243781,0.03980099502487562,0.024875621890547265,0.05472636815920398,0.0845771144278607,0.024875621890547265,0.0,0.009950248756218905,0.06467661691542288,0.05472636815920398,0.029850746268656716,0.004975124378109453,0.09950248756218906,0.024875621890547265,0.024875621890547265,0.01990049751243781,0.12437810945273632,0.009950248756218905,0.009950248756218905,0.0,0.004975124378109453,0.004975124378109453,0.0,0.004975124378109453,0.7810945273631841,0.9054726368159204,0.6616915422885572,0.31343283582089554,0.3383084577114428,0.06467661691542288,0.024875621890547265,0.01990049751243781,0.14427860696517414,0.004975124378109453,0.0,0.263681592039801,1.064676616915423,0.8208955223880597,0.004975124378109453,0.20398009950248755,0.24378109452736318,0.04975124378109453,5676.681592039801,0.1044776119402985,0.7860696517412935
6,0.49523809523809526,0.44761904761904764,0.014285714285714285,0.40476190476190477,0.4142857142857143,0.15714285714285714,0.023809523809523808,13.4,0.047619047619047616,0.09523809523809523,0.08095238095238096,0.004761904761904762,0.047619047619047616,0.023809523809523808,0.21428571428571427,0.009523809523809525,0.0,0.0,0.014285714285714285,0.04285714285714286,0.0,0.009523809523809525,0.004761904761904762,0.4142857142857143,0.21428571428571427,0.09523809523809523,0.24285714285714285,0.08571428571428572,0.1761904761904762,0.3333333333333333,0.09523809523809523,0.1380952380952381,0.0,0.0380952380952381,0.05714285714285714,0.023809523809523808,0.047619047619047616,0.023809523809523808,0.03333333333333333,0.0380952380952381,0.09523809523809523,0.04285714285714286,0.02857142857142857,0.004761904761904762,0.01904761904761905,0.05238095238095238,0.06190476190476191,0.014285714285714285,0.004761904761904762,0.10476190476190476,0.014285714285714285,0.0380952380952381,0.009523809523809525,0.09047619047619047,0.0,0.009523809523809525,0.009523809523809525,0.004761904761904762,0.004761904761904762,0.004761904761904762,0.023809523809523808,0.7428571428571429,0.861904761904762,0.5714285714285714,0.319047619047619,0.35714285714285715,0.0761904761904762,0.05238095238095238,0.03333333333333333,0.11904761904761904,0.009523809523809525,0.02857142857142857,0.20476190476190476,1.042857142857143,0.7952380952380952,0.004761904761904762,0.2,0.21904761904761905,0.0380952380952381,0.11904761904761904,0.12380952380952381,0.6714285714285714
7,0.44680851063829785,0.502127659574468,0.0425531914893617,0.3191489361702128,0.4595744680851064,0.1574468085106383,0.059574468085106386,14.736170212765957,0.03829787234042553,0.10212765957446808,0.10638297872340426,0.01702127659574468,0.02553191489361702,0.02127659574468085,0.19574468085106383,0.029787234042553193,0.0,0.0,0.02127659574468085,0.01276595744680851,0.0,0.02553191489361702,0.0,0.4085106382978723,0.20425531914893616,0.09787234042553192,0.3446808510638298,0.05106382978723404,0.15319148936170213,0.2978723404255319,0.10212765957446808,0.14042553191489363,0.01276595744680851,0.03404255319148936,0.0425531914893617,0.02127659574468085,0.02553191489361702,0.01276595744680851,0.02127659574468085,0.04680851063829787,0.05106382978723404,0.0425531914893617,0.02127659574468085,0.00851063829787234,0.00851063829787234,0.05106382978723404,0.03829787234042553,0.07234042553191489,0.0,0.09361702127659574,0.02127659574468085,0.0425531914893617,0.02127659574468085,0.05106382978723404,0.00425531914893617,0.00425531914893617,0.00425531914893617,0.01702127659574468,0.01702127659574468,0.00851063829787234,0.02127659574468085,0.7702127659574468,0.902127659574468,0.6,0.2425531914893617,0.28936170212765955,0.10638297872340426,0.0425531914893617,0.03829787234042553,0.13617021276595745,0.0,0.029787234042553193,0.2851063829787234,1.2638297872340425,0.9148936170212766,0.0,0.2723404255319149,0.2127659574468085,0.06808510638297872,0.14893617021276595,0.13191489361702127,0.6510638297872341
8,0.4666666666666667,0.49047619047619045,0.02857142857142857,0.4095238095238095,0.4095238095238095,0.1380952380952381,0.02857142857142857,14.885714285714286,0.04285714285714286,0.0761904761904762,0.07142857142857142,0.009523809523809525,0.014285714285714285,0.0380952380952381,0.1523809523809524,0.023809523809523808,0.004761904761904762,0.0,0.06666666666666667,0.07142857142857142,0.009523809523809525,0.02857142857142857,0.004761904761904762,0.38095238095238093,0.20952380952380953,0.09523809523809523,0.3238095238095238,0.10952380952380952,0.13333333333333333,0.3047619047619048,0.1,0.13333333333333333,0.023809523809523808,0.0380952380952381,0.02857142857142857,0.023809523809523808,0.0380952380952381,0.014285714285714285,0.0380952380952381,0.01904761904761905,0.04285714285714286,0.047619047619047616,0.023809523809523808,0.014285714285714285,0.004761904761904762,0.02857142857142857,0.05238095238095238,0.0380952380952381,0.0,0.05714285714285714,0.004761904761904762,0.02857142857142857,0.014285714285714285,0.06666666666666667,0.0,0.009523809523809525,0.0,0.014285714285714285,0.014285714285714285,0.004761904761904762,0.009523809523809525,0.8095238095238095,0.9047619047619048,0.6571428571428571,0.3238095238095238,0.3380952380952381,0.12857142857142856,0.05714285714285714,0.05714285714285714,0.1761904761904762,0.004761904761904762,0.047619047619047616,0.2904761904761905,1.3857142857142857,1.0857142857142856,0.009523809523809525,0.24285714285714285,0.2857142857142857,0.06666666666666667,0.18095238095238095,0.09523809523809523,0.8047619047619048
9,0.5294117647058824,0.42016806722689076,0.03361344537815126,0.36134453781512604,0.42857142857142855,0.13865546218487396,0.06722689075630252,14.084033613445378,0.025210084033613446,0.1134453781512605,0.10084033613445378,0.025210084033613446,0.02100840336134454,0.029411764705882353,0.13025210084033614,0.029411764705882353,0.0,0.0,0.025210084033613446,0.05042016806722689,0.0,0.012605042016806723,0.0,0.42016806722689076,0.226890756302521,0.12184873949579832,0.21428571428571427,0.046218487394957986,0.1092436974789916,0.31932773109243695,0.058823529411764705,0.19747899159663865,0.008403361344537815,0.07142857142857142,0.029411764705882353,0.012605042016806723,0.04201680672268908,0.008403361344537815,0.029411764705882353,0.04201680672268908,0.08403361344537816,0.037815126050420166,0.01680672268907563,0.01680672268907563,0.012605042016806723,0.02100840336134454,0.06302521008403361,0.029411764705882353,0.008403361344537815,0.07142857142857142,0.02100840336134454,0.037815126050420166,0.02100840336134454,0.12184873949579832,0.012605042016806723,0.025210084033613446,0.004201680672268907,0.01680672268907563,0.004201680672268907,0.012605042016806723,0.012605042016806723,0.7100840336134454,0.8697478991596639,0.6176470588235294,0.29831932773109243,0.29831932773109243,0.14705882352941177,0.037815126050420166,0.0546218487394958,0.11764705882352941,0.004201680672268907,0.03361344537815126,0.24369747899159663,1.2058823529411764,0.9285714285714286,0.004201680672268907,0.21428571428571427,0.24789915966386555,0.07142857142857142,588.3739495798319,0.12184873949579832,0.7563025210084033
10,0.46153846153846156,0.5,0.038461538461538464,0.3901098901098901,0.4010989010989011,0.19230769230769232,0.01098901098901099,13.956043956043956,0.027472527472527472,0.06593406593406594,0.08241758241758242,0.027472527472527472,0.03296703296703297,0.016483516483516484,0.13736263736263737,0.06043956043956044,0.0,0.0,0.027472527472527472,0.07142857142857142,0.0,0.01098901098901099,0.005494505494505495,0.4010989010989011,0.2032967032967033,0.08241758241758242,0.25274725274725274,0.12087912087912088,0.14285714285714285,0.33516483516483514,0.06043956043956044,0.16483516483516483,0.01098901098901099,0.016483516483516484,0.04395604395604396,0.02197802197802198,0.03296703296703297,0.027472527472527472,0.027472527472527472,0.016483516483516484,0.03296703296703297,0.054945054945054944,0.03296703296703297,0.01098901098901099,0.027472527472527472,0.04945054945054945,0.03296703296703297,0.038461538461538464,0.0,0.04945054945054945,0.016483516483516484,0.04395604395604396,0.016483516483516484,0.14285714285714285,0.0,0.005494505494505495,0.005494505494505495,0.0,0.0,0.0,0.005494505494505495,0.7417582417582418,0.8736263736263736,0.5824175824175825,0.25824175824175827,0.24175824175824176,0.08791208791208792,0.04395604395604396,0.04395604395604396,0.08791208791208792,0.01098901098901099,0.02197802197802198,0.21978021978021978,1.1923076923076923,0.8406593406593407,0.005494505494505495,0.25274725274725274,0.1978021978021978,0.06593406593406594,0.1043956043956044,0.1813186813186813,0.7307692307692307
