week,R,H ,T,T9-1,T1-5,T5-8,T8-9,Age,HAOHFamily,HAOHFriend,HAOHSchool,HAOHAdvertisement/Poster/Helpcard,HAOHOzone Staff,HAOHPolice/Court/Probation Officer,HAOHOther Org.,HAOHIs a Previous Client,HAOHO.H. Street/Outreach,HAOHPOWs,HAOHMental Health Professional,HAOHInternet/Online Search,HAOHDrop-InCenter,HAOHHousing Access,HAOHOther,HAOHUnknown,PA,PB,PC ,PD,PE,PF,PG,PH,PI,PJ,PK,PL,PM,PN,PO,PP,PQ,PR,PS,PT,PU,PV,PW,PX ,PY ,PZ,Paa,Pbb,Pcc,Pdd,Pee,Pff,Pgg,Phh,Pii,Pjj,Pkk,SPEmpathy,SPInfoGathering,SPProblemSolving,SPRealityTesting,SPSafetyPlanning,ISIDFamily Conflict,ISIDCurrent Abuse,ISIDSuicide,ISIDOn the street,ISIDDomestic Violence,ISIDOther,SafetyPlan,AnxietyStart,AnxietyEnd,Increase,Decrease,No Change,PositiveChange,CallsInCrisisw/SP,Intake Scheduled,# of Referrals Given
11,105.0,84.0,6.0,73.0,82.0,36.0,9.0,2898.0,13.0,11.0,12.0,6.0,7.0,8.0,35.0,5.0,0.0,0.0,6.0,24.0,0.0,0.0,3.0,63.0,37.0,14.0,60.0,19.0,20.0,76.0,6.0,36.0,1.0,4.0,6.0,6.0,7.0,5.0,6.0,13.0,5.0,14.0,10.0,1.0,4.0,10.0,8.0,14.0,2.0,11.0,11.0,8.0,5.0,32.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,161.0,186.0,126.0,52.0,61.0,18.0,9.0,5.0,22.0,0.0,8.0,51.0,293.0,238.0,1.0,48.0,56.0,13.0,31.0,31.0,134.0
12,140.0,117.0,3.0,112.0,108.0,36.0,7.0,3759.0,9.0,21.0,20.0,8.0,7.0,9.0,47.0,8.0,1.0,1.0,4.0,11.0,2.0,2.0,2.0,107.0,49.0,21.0,71.0,21.0,32.0,97.0,8.0,49.0,2.0,8.0,15.0,6.0,12.0,3.0,3.0,10.0,6.0,13.0,5.0,4.0,5.0,12.0,6.0,10.0,3.0,12.0,8.0,12.0,4.0,32.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,199.0,245.0,163.0,72.0,79.0,26.0,9.0,11.0,28.0,1.0,8.0,58.0,287.0,217.0,1.0,57.0,52.0,14.0,30.0,39.0,184.0
13,97.0,104.0,3.0,85.0,84.0,27.0,9.0,2632.0,9.0,13.0,8.0,4.0,6.0,8.0,30.0,14.0,0.0,0.0,6.0,10.0,1.0,2.0,2.0,90.0,30.0,20.0,61.0,14.0,32.0,67.0,4.0,34.0,2.0,3.0,5.0,1.0,10.0,2.0,5.0,3.0,11.0,10.0,8.0,4.0,3.0,10.0,12.0,9.0,2.0,19.0,11.0,10.0,5.0,30.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,148.0,181.0,129.0,55.0,53.0,18.0,10.0,4.0,19.0,4.0,6.0,41.0,228.0,183.0,0.0,41.0,52.0,17.0,1140654.0,29.0,166.0
14,94.0,109.0,3.0,88.0,83.0,27.0,8.0,2780.0,6.0,16.0,11.0,5.0,3.0,15.0,36.0,6.0,0.0,0.0,11.0,11.0,1.0,2.0,4.0,77.0,39.0,14.0,63.0,17.0,34.0,74.0,9.0,37.0,3.0,7.0,9.0,7.0,10.0,1.0,7.0,8.0,4.0,16.0,2.0,1.0,5.0,11.0,12.0,7.0,0.0,18.0,5.0,8.0,5.0,24.0,2.0,2.0,1.0,3.0,5.0,2.0,3.0,165.0,189.0,140.0,62.0,66.0,16.0,6.0,7.0,24.0,0.0,5.0,62.0,239.0,185.0,0.0,40.0,53.0,5.0,34.0,22.0,149.0
15,98.0,111.0,7.0,73.0,99.0,38.0,9.0,3073.0,7.0,13.0,10.0,4.0,7.0,11.0,30.0,6.0,1.0,0.0,8.0,8.0,3.0,5.0,4.0,102.0,31.0,15.0,74.0,20.0,37.0,74.0,11.0,57.0,3.0,18.0,7.0,11.0,4.0,6.0,9.0,7.0,5.0,23.0,7.0,2.0,7.0,8.0,13.0,11.0,0.0,8.0,8.0,10.0,2.0,27.0,3.0,2.0,0.0,4.0,3.0,2.0,2.0,164.0,199.0,132.0,64.0,62.0,28.0,9.0,17.0,27.0,2.0,4.0,51.0,238.0,181.0,2.0,45.0,45.0,11.0,29.0,30.0,147.0
16,102.0,98.0,4.0,85.0,86.0,27.0,12.0,2932.0,6.0,10.0,14.0,7.0,5.0,9.0,30.0,7.0,0.0,0.0,5.0,4.0,2.0,4.0,7.0,109.0,41.0,21.0,60.0,22.0,30.0,76.0,18.0,43.0,3.0,4.0,8.0,3.0,9.0,4.0,5.0,6.0,8.0,13.0,0.0,3.0,2.0,6.0,10.0,8.0,1.0,19.0,6.0,5.0,1.0,30.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,165.0,191.0,122.0,61.0,67.0,18.0,7.0,4.0,22.0,0.0,5.0,41.0,204.0,165.0,0.0,35.0,54.0,9.0,19.0,28.0,139.0
17,117.0,91.0,8.0,87.0,92.0,34.0,8.0,3043.0,11.0,25.0,16.0,6.0,5.0,6.0,39.0,3.0,0.0,0.0,7.0,9.0,0.0,6.0,2.0,84.0,42.0,18.0,60.0,19.0,33.0,91.0,6.0,46.0,2.0,7.0,8.0,3.0,8.0,2.0,3.0,11.0,10.0,15.0,4.0,3.0,1.0,10.0,9.0,14.0,1.0,21.0,12.0,8.0,3.0,36.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,182.0,199.0,128.0,61.0,58.0,18.0,11.0,8.0,29.0,6.0,7.0,37.0,228.0,180.0,0.0,41.0,52.0,13.0,15.0,28.0,158.0
18,110.0,99.0,8.0,97.0,82.0,29.0,10.0,3140.0,3.0,15.0,15.0,4.0,6.0,9.0,45.0,9.0,0.0,0.0,4.0,11.0,0.0,10.0,1.0,79.0,48.0,17.0,55.0,20.0,35.0,100.0,6.0,38.0,2.0,0.0,5.0,3.0,10.0,6.0,6.0,7.0,3.0,15.0,7.0,4.0,1.0,9.0,14.0,7.0,1.0,14.0,6.0,17.0,5.0,41.0,2.0,3.0,2.0,0.0,1.0,2.0,2.0,179.0,209.0,153.0,72.0,81.0,16.0,7.0,5.0,28.0,1.0,10.0,50.0,224.0,182.0,1.0,35.0,47.0,8.0,1141218.0,23.0,162.0
19,150.0,118.0,3.0,110.0,106.0,48.0,13.0,3626.0,18.0,23.0,24.0,3.0,7.0,4.0,43.0,6.0,0.0,0.0,5.0,9.0,3.0,6.0,4.0,119.0,63.0,24.0,76.0,20.0,41.0,111.0,9.0,50.0,4.0,7.0,9.0,6.0,19.0,4.0,6.0,18.0,12.0,14.0,3.0,6.0,6.0,17.0,16.0,12.0,1.0,37.0,11.0,11.0,7.0,38.0,3.0,4.0,1.0,4.0,0.0,3.0,4.0,220.0,254.0,179.0,90.0,81.0,25.0,12.0,3.0,27.0,4.0,12.0,50.0,265.0,215.0,0.0,39.0,67.0,9.0,27.0,47.0,188.0
20,138.0,121.0,5.0,98.0,115.0,49.0,7.0,3770.0,9.0,14.0,23.0,7.0,10.0,11.0,52.0,10.0,1.0,1.0,3.0,15.0,0.0,3.0,6.0,103.0,65.0,28.0,99.0,27.0,28.0,106.0,10.0,57.0,4.0,14.0,11.0,7.0,12.0,3.0,10.0,9.0,13.0,21.0,11.0,5.0,10.0,18.0,14.0,13.0,0.0,24.0,17.0,15.0,3.0,21.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,221.0,255.0,186.0,87.0,98.0,23.0,9.0,9.0,33.0,3.0,8.0,55.0,299.0,235.0,0.0,55.0,66.0,18.0,33.0,34.0,243.0
21,141.0,124.0,2.0,115.0,103.0,36.0,12.0,3241.0,11.0,22.0,19.0,4.0,8.0,7.0,54.0,5.0,0.0,0.0,3.0,13.0,3.0,7.0,2.0,104.0,54.0,32.0,80.0,20.0,35.0,105.0,12.0,50.0,4.0,7.0,16.0,9.0,17.0,6.0,6.0,6.0,12.0,15.0,5.0,3.0,6.0,15.0,17.0,14.0,2.0,22.0,13.0,15.0,5.0,32.0,3.0,2.0,1.0,5.0,1.0,0.0,2.0,197.0,241.0,167.0,88.0,79.0,20.0,11.0,16.0,34.0,1.0,13.0,56.0,283.0,228.0,1.0,44.0,70.0,12.0,41.0,31.0,206.0
22,99.0,136.0,2.0,105.0,88.0,28.0,15.0,3379.0,8.0,21.0,15.0,7.0,5.0,10.0,45.0,6.0,0.0,0.0,8.0,14.0,0.0,7.0,2.0,91.0,44.0,24.0,80.0,32.0,49.0,86.0,12.0,43.0,3.0,13.0,8.0,10.0,11.0,3.0,13.0,8.0,10.0,11.0,4.0,6.0,3.0,12.0,14.0,10.0,0.0,24.0,3.0,9.0,2.0,46.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,183.0,223.0,150.0,70.0,75.0,14.0,5.0,15.0,35.0,1.0,6.0,56.0,259.0,210.0,0.0,36.0,63.0,10.0,141469.0,31.0,232.0
23,102.0,113.0,8.0,91.0,89.0,34.0,8.0,3377.0,3.0,16.0,11.0,3.0,4.0,6.0,46.0,12.0,0.0,0.0,10.0,12.0,0.0,7.0,1.0,77.0,44.0,21.0,82.0,21.0,33.0,77.0,8.0,34.0,4.0,8.0,9.0,5.0,12.0,2.0,6.0,4.0,1.0,14.0,0.0,4.0,5.0,11.0,10.0,9.0,0.0,12.0,9.0,11.0,6.0,34.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,164.0,202.0,117.0,48.0,65.0,19.0,8.0,9.0,29.0,1.0,7.0,52.0,258.0,216.0,1.0,38.0,61.0,12.0,27.0,27.0,166.0
24,91.0,124.0,5.0,74.0,100.0,41.0,10.0,3381.0,8.0,23.0,5.0,3.0,3.0,6.0,31.0,13.0,0.0,0.0,9.0,10.0,0.0,6.0,2.0,101.0,34.0,23.0,74.0,20.0,40.0,78.0,8.0,34.0,1.0,8.0,13.0,2.0,11.0,8.0,6.0,11.0,6.0,13.0,6.0,1.0,7.0,15.0,14.0,7.0,0.0,15.0,7.0,11.0,6.0,35.0,0.0,1.0,0.0,2.0,2.0,3.0,0.0,170.0,200.0,144.0,66.0,62.0,18.0,14.0,10.0,37.0,3.0,6.0,42.0,266.0,219.0,1.0,39.0,66.0,12.0,22.0,27.0,165.0
25,114.0,143.0,6.0,106.0,101.0,45.0,7.0,3537.0,10.0,18.0,2.0,5.0,8.0,8.0,45.0,17.0,0.0,0.0,12.0,16.0,3.0,1.0,2.0,111.0,43.0,38.0,80.0,32.0,51.0,77.0,5.0,35.0,2.0,6.0,7.0,4.0,12.0,6.0,1.0,4.0,7.0,21.0,7.0,5.0,6.0,12.0,14.0,13.0,0.0,11.0,4.0,10.0,6.0,48.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,197.0,238.0,173.0,71.0,84.0,16.0,8.0,9.0,37.0,2.0,5.0,57.0,302.0,252.0,1.0,44.0,79.0,17.0,23.0,31.0,200.0
26,85.0,148.0,7.0,94.0,107.0,33.0,9.0,3563.0,13.0,13.0,5.0,2.0,9.0,8.0,47.0,14.0,0.0,0.0,7.0,11.0,3.0,9.0,2.0,98.0,35.0,26.0,85.0,21.0,58.0,82.0,12.0,23.0,3.0,3.0,13.0,9.0,13.0,9.0,7.0,3.0,5.0,12.0,11.0,3.0,6.0,7.0,20.0,15.0,0.0,8.0,3.0,13.0,3.0,50.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,168.0,214.0,145.0,51.0,79.0,14.0,6.0,5.0,39.0,1.0,6.0,67.0,289.0,235.0,0.0,45.0,69.0,9.0,34.0,40.0,205.0
27,51.0,110.0,1.0,73.0,58.0,29.0,4.0,2244.0,9.0,10.0,4.0,6.0,6.0,4.0,35.0,13.0,2.0,1.0,3.0,9.0,1.0,8.0,4.0,52.0,31.0,23.0,69.0,7.0,50.0,48.0,12.0,27.0,2.0,6.0,14.0,3.0,12.0,2.0,10.0,3.0,6.0,6.0,5.0,0.0,3.0,12.0,9.0,7.0,3.0,4.0,4.0,10.0,3.0,27.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,119.0,148.0,110.0,53.0,61.0,15.0,7.0,10.0,24.0,2.0,4.0,64.0,223.0,181.0,1.0,36.0,47.0,0.0,1140320.0,19.0,163.0
28,102.0,167.0,1.0,126.0,98.0,41.0,7.0,4305.0,9.0,18.0,3.0,3.0,11.0,8.0,42.0,19.0,0.0,1.0,2.0,26.0,1.0,9.0,5.0,119.0,57.0,34.0,141.0,27.0,46.0,77.0,11.0,30.0,6.0,4.0,11.0,8.0,13.0,4.0,6.0,7.0,6.0,14.0,6.0,4.0,5.0,17.0,9.0,17.0,0.0,10.0,1.0,12.0,2.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,205.0,254.0,169.0,71.0,92.0,19.0,9.0,4.0,42.0,0.0,13.0,111.0,320.0,265.0,0.0,51.0,84.0,0.0,42.0,26.0,220.0
29,122.0,145.0,8.0,100.0,109.0,60.0,5.0,3844.0,9.0,25.0,2.0,8.0,9.0,7.0,50.0,8.0,0.0,1.0,6.0,15.0,3.0,8.0,6.0,121.0,55.0,31.0,123.0,33.0,55.0,79.0,22.0,35.0,1.0,12.0,7.0,9.0,14.0,8.0,7.0,6.0,6.0,17.0,4.0,5.0,15.0,21.0,7.0,7.0,2.0,11.0,6.0,13.0,7.0,24.0,0.0,1.0,1.0,4.0,2.0,0.0,1.0,205.0,251.0,187.0,84.0,111.0,34.0,13.0,15.0,53.0,1.0,10.0,97.0,313.0,251.0,2.0,51.0,72.0,0.0,32.0,39.0,192.0
30,107.0,139.0,4.0,103.0,102.0,38.0,8.0,3552.0,10.0,21.0,4.0,14.0,8.0,6.0,42.0,7.0,0.0,0.0,13.0,14.0,2.0,7.0,7.0,96.0,57.0,25.0,107.0,27.0,41.0,77.0,17.0,33.0,4.0,7.0,8.0,7.0,7.0,8.0,8.0,9.0,3.0,10.0,6.0,5.0,11.0,12.0,7.0,12.0,1.0,10.0,6.0,12.0,5.0,24.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,190.0,225.0,163.0,77.0,88.0,18.0,8.0,11.0,40.0,0.0,2.0,88.0,281.0,232.0,0.0,42.0,87.0,0.0,22.0,29.0,199.0
31,95.0,147.0,7.0,102.0,108.0,35.0,8.0,3610.0,15.0,28.0,2.0,4.0,6.0,5.0,44.0,10.0,0.0,1.0,4.0,16.0,0.0,12.0,5.0,102.0,44.0,43.0,87.0,16.0,53.0,64.0,18.0,42.0,4.0,5.0,7.0,15.0,11.0,5.0,8.0,5.0,24.0,9.0,5.0,2.0,5.0,12.0,10.0,12.0,2.0,7.0,1.0,12.0,4.0,29.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,188.0,228.0,166.0,73.0,82.0,12.0,10.0,5.0,44.0,5.0,7.0,86.0,255.0,214.0,1.0,35.0,78.0,140813.0,29.0,28.0,199.0
32,92.0,153.0,5.0,102.0,107.0,38.0,5.0,3660.0,11.0,26.0,2.0,6.0,3.0,12.0,45.0,6.0,0.0,1.0,15.0,13.0,1.0,13.0,5.0,98.0,41.0,22.0,70.0,16.0,53.0,75.0,21.0,35.0,2.0,6.0,10.0,3.0,5.0,2.0,7.0,7.0,16.0,20.0,5.0,3.0,8.0,4.0,18.0,8.0,1.0,7.0,5.0,10.0,7.0,54.0,2.0,2.0,0.0,2.0,4.0,2.0,3.0,201.0,240.0,167.0,69.0,84.0,21.0,5.0,9.0,53.0,0.0,8.0,87.0,287.0,217.0,0.0,49.0,70.0,0.0,28.0,31.0,237.0
33,81.0,153.0,10.0,104.0,93.0,36.0,12.0,3489.0,10.0,14.0,2.0,12.0,5.0,11.0,38.0,11.0,0.0,1.0,10.0,17.0,1.0,6.0,10.0,104.0,24.0,14.0,53.0,12.0,56.0,78.0,13.0,47.0,1.0,12.0,6.0,7.0,7.0,4.0,5.0,7.0,6.0,13.0,1.0,1.0,7.0,10.0,11.0,15.0,1.0,11.0,7.0,9.0,5.0,63.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,182.0,230.0,150.0,76.0,91.0,22.0,3.0,6.0,41.0,0.0,4.0,81.0,289.0,231.0,1.0,47.0,73.0,0.0,18.0,38.0,177.0
34,53.0,143.0,8.0,85.0,75.0,35.0,13.0,3647.0,5.0,19.0,5.0,6.0,2.0,7.0,36.0,7.0,0.0,0.0,5.0,8.0,0.0,10.0,5.0,95.0,27.0,16.0,63.0,14.0,52.0,41.0,14.0,23.0,1.0,2.0,4.0,1.0,1.0,3.0,5.0,10.0,10.0,7.0,4.0,0.0,5.0,9.0,8.0,12.0,3.0,4.0,3.0,5.0,4.0,55.0,2.0,3.0,1.0,1.0,5.0,2.0,2.0,157.0,182.0,132.0,62.0,68.0,13.0,4.0,5.0,41.0,2.0,5.0,72.0,250.0,202.0,0.0,37.0,74.0,0.0,20.0,27.0,223.0
35,57.0,144.0,12.0,89.0,79.0,33.0,10.0,3291.0,7.0,16.0,1.0,5.0,2.0,5.0,45.0,7.0,2.0,0.0,7.0,15.0,0.0,7.0,4.0,90.0,21.0,18.0,58.0,13.0,50.0,43.0,18.0,33.0,1.0,2.0,5.0,3.0,4.0,0.0,4.0,5.0,16.0,9.0,3.0,1.0,4.0,6.0,13.0,7.0,3.0,8.0,1.0,3.0,7.0,57.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,154.0,180.0,137.0,58.0,69.0,21.0,4.0,9.0,38.0,1.0,1.0,84.0,269.0,213.0,0.0,47.0,60.0,140153.0,28.0,28.0,242.0
36,67.0,117.0,9.0,79.0,85.0,23.0,5.0,3036.0,9.0,10.0,4.0,2.0,2.0,4.0,27.0,7.0,0.0,0.0,9.0,15.0,0.0,11.0,4.0,91.0,27.0,14.0,46.0,13.0,52.0,45.0,15.0,26.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,6.0,8.0,14.0,4.0,1.0,4.0,6.0,18.0,12.0,0.0,7.0,11.0,2.0,7.0,75.0,0.0,1.0,0.0,3.0,2.0,0.0,6.0,147.0,174.0,124.0,66.0,80.0,22.0,8.0,6.0,40.0,0.0,2.0,87.0,293.0,234.0,1.0,40.0,73.0,8.0,17.0,20.0,162.0
